status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
... < 0 DM,9,existing credits paid back duly till now,radio/television,1366,... < 100 DM,... < 1 year,3,male : married/widowed,none,4,building society savings agreement/ life insurance,22,none,K62489,2018/8/18,rent,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2002,... < 100 DM,4 <= ... < 7 years,3,male : married/widowed,none,4,building society savings agreement/ life insurance,30,none,n11110,2018/4/15,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/ life insurance,55,bank,Y26380,2018/4/16,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,12,all credits at this bank paid back duly,car (new),697,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",46,bank,R50213,2018/4/11,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,building society savings agreement/ life insurance,21,none,f39610,2018/9/3,rent,1,skilled employee / official,1,none,yes,0
... < 0 DM,48,existing credits paid back duly till now,car (used),10297,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,unknown / no property,39,stores,c78353,2018/11/11,for free,3,skilled employee / official,2,"yes, registered under the customers name",yes,1
no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,... >= 7 years,4,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",58,none,i76884,2018/8/21,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,delay in paying off in the past,car (new),1344,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,43,none,K70855,2018/5/14,own,2,unskilled - resident,2,none,yes,0
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,... < 100 DM,... < 1 year,4,male : married/widowed,co-applicant,1,building society savings agreement/ life insurance,24,none,R36510,2018/11/28,own,1,unskilled - resident,1,none,no,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1670,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",22,none,S35426,2018/10/21,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,1,real estate,30,none,U50051,2018/1/24,own,2,skilled employee / official,1,none,yes,0
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 <= ... < 1000 DM,... >= 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,42,none,x90163,2018/5/1,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,12,existing credits paid back duly till now,radio/television,1498,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",23,bank,n42692,2018/1/24,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,30,delay in paying off in the past,radio/television,1919,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown / no property,30,stores,g84306,2018/9/11,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1
... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,745,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,real estate,28,none,C10013,2018/10/11,own,1,unskilled - resident,1,none,yes,1
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,2063,... < 100 DM,... < 1 year,4,male : married/widowed,none,3,"car or other, not in attribute Savings account/bonds",30,none,g63321,2018/7/20,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,60,existing credits paid back duly till now,education,6288,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,unknown / no property,42,none,J15776,2018/7/21,for free,1,skilled employee / official,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),6842,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,4,building society savings agreement/ life insurance,46,none,f44057,2018/3/27,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,car (new),3527,unknown/ no savings account,... < 1 year,2,male : married/widowed,none,3,building society savings agreement/ life insurance,45,none,M89373,2018/5/14,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
no checking account,10,existing credits paid back duly till now,car (new),1546,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,real estate,31,none,P79451,2018/4/18,own,1,unskilled - resident,2,none,no,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,929,unknown/ no savings account,4 <= ... < 7 years,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",31,stores,t59889,2018/3/18,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,4,critical account/ other credits existing (not at this bank),car (new),1455,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,1,real estate,42,none,j23259,2018/9/3,own,3,unskilled - resident,2,none,yes,0
... < 0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,... < 100 DM,... < 1 year,4,male : married/widowed,guarantor,1,building society savings agreement/ life insurance,46,none,J47255,2018/10/24,rent,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,500 <= ... < 1000 DM,... < 1 year,1,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",30,none,Z21204,2018/12/29,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3349,500 <= ... < 1000 DM,... < 1 year,4,male : married/widowed,none,4,unknown / no property,30,none,A54415,2018/1/23,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,car (new),2859,unknown/ no savings account,unemployed,4,male : married/widowed,none,4,unknown / no property,38,none,o29360,2018/11/16,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,... < 100 DM,... < 1 year,4,male : married/widowed,co-applicant,1,building society savings agreement/ life insurance,43,none,I66740,2018/2/5,own,1,unskilled - resident,2,none,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,3621,100 <= ... < 500 DM,... >= 7 years,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",31,none,x95267,2018/7/8,own,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,3590,... < 100 DM,unemployed,3,male : married/widowed,none,3,"car or other, not in attribute Savings account/bonds",40,none,I26087,2018/11/23,own,3,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,0
... < 0 DM,36,delay in paying off in the past,business,2145,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",24,none,g44860,2018/2/9,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),4113,500 <= ... < 1000 DM,... < 1 year,3,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",28,none,u80607,2018/1/11,rent,1,skilled employee / official,1,none,yes,1
no checking account,36,existing credits paid back duly till now,furniture/equipment,10974,... < 100 DM,unemployed,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",26,none,P33006,2018/2/1,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
... < 0 DM,12,existing credits paid back duly till now,car (new),1893,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,4,building society savings agreement/ life insurance,29,none,b79362,2018/10/21,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,1231,... >= 1000 DM,... >= 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,57,none,U54943,2018/3/19,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3656,unknown/ no savings account,... >= 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,49,stores,W17950,2018/11/8,own,2,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1154,... < 100 DM,... >= 7 years,2,male : married/widowed,none,4,real estate,37,none,c91188,2018/7/25,own,3,unskilled - resident,1,none,yes,0
... < 0 DM,28,existing credits paid back duly till now,car (new),4006,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",45,none,h54359,2018/6/2,own,1,unskilled - resident,1,none,yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,unknown / no property,30,none,d59634,2018/3/4,for free,1,skilled employee / official,1,none,yes,0
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1740,... < 100 DM,... >= 7 years,2,male : married/widowed,none,2,real estate,30,none,t19039,2018/5/5,rent,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,21,delay in paying off in the past,car (new),2353,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,4,building society savings agreement/ life insurance,47,none,K12460,2018/12/28,own,2,skilled employee / official,1,none,yes,0
no checking account,15,existing credits paid back duly till now,car (new),3556,unknown/ no savings account,1 <= ... < 4 years,3,male : married/widowed,none,2,unknown / no property,29,none,C14605,2018/10/2,own,1,skilled employee / official,1,none,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,2397,500 <= ... < 1000 DM,... >= 7 years,3,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",35,bank,v99357,2018/7/24,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,6,existing credits paid back duly till now,repairs,454,... < 100 DM,... < 1 year,3,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,n27326,2018/10/20,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,1715,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",26,none,B93344,2018/11/28,own,1,skilled employee / official,1,none,yes,0
